,antecedents,consequents,confidence
26,"frozenset({'rice', 'yogurt'})",frozenset({'other vegetables'}),0.8260869565217391
27,"frozenset({'pastry', 'sweet spreads'})",frozenset({'whole milk'}),0.9090909090909092
28,"frozenset({'sugar', 'rice'})",frozenset({'whole milk'}),1.0
29,"frozenset({'tropical fruit', 'yogurt', 'baking powder'})",frozenset({'whole milk'}),0.8461538461538461
30,"frozenset({'butter', 'beef', 'curd'})",frozenset({'whole milk'}),0.8333333333333333
31,"frozenset({'tropical fruit', 'beef', 'butter'})",frozenset({'yogurt'}),0.8333333333333333
32,"frozenset({'sugar', 'root vegetables', 'beef'})",frozenset({'other vegetables'}),0.8461538461538461
33,"frozenset({'tropical fruit', 'whipped/sour cream', 'beef'})",frozenset({'other vegetables'}),0.8750000000000001
34,"frozenset({'tropical fruit', 'whipped/sour cream', 'beef'})",frozenset({'whole milk'}),0.8125
35,"frozenset({'sausage', 'berries', 'butter'})",frozenset({'whole milk'}),0.9090909090909092
36,"frozenset({'whipped/sour cream', 'berries', 'butter'})",frozenset({'whole milk'}),0.8333333333333333
37,"frozenset({'coffee', 'bottled beer', 'yogurt'})",frozenset({'whole milk'}),0.8333333333333333
38,"frozenset({'bottled beer', 'margarine', 'domestic eggs'})",frozenset({'whole milk'}),0.9090909090909092
39,"frozenset({'napkins', 'bottled beer', 'rolls/buns'})",frozenset({'whole milk'}),0.8
40,"frozenset({'pork', 'bottled beer', 'rolls/buns'})",frozenset({'whole milk'}),0.8461538461538461
41,"frozenset({'bottled water', 'hygiene articles', 'butter'})",frozenset({'whole milk'}),0.8571428571428571
42,"frozenset({'bottled water', 'napkins', 'butter'})",frozenset({'whole milk'}),0.8461538461538461
43,"frozenset({'onions', 'bottled water', 'butter'})",frozenset({'whole milk'}),0.8333333333333333
44,"frozenset({'bottled water', 'pip fruit', 'butter'})",frozenset({'whole milk'}),0.8125
45,"frozenset({'bottled water', 'whipped/sour cream', 'butter'})",frozenset({'whole milk'}),0.8571428571428571
46,"frozenset({'bottled water', 'whipped/sour cream', 'margarine'})",frozenset({'whole milk'}),0.8333333333333333
47,"frozenset({'bottled water', 'whipped/sour cream', 'sausage'})",frozenset({'other vegetables'}),0.8125
48,"frozenset({'sugar', 'bottled water', 'other vegetables'})",frozenset({'whole milk'}),0.8125
49,"frozenset({'root vegetables', 'domestic eggs', 'brown bread'})",frozenset({'whole milk'}),0.8333333333333334
50,"frozenset({'root vegetables', 'pip fruit', 'brown bread'})",frozenset({'other vegetables'}),0.8125
51,"frozenset({'whipped/sour cream', 'pip fruit', 'brown bread'})",frozenset({'other vegetables'}),1.0
52,"frozenset({'whipped/sour cream', 'sausage', 'brown bread'})",frozenset({'other vegetables'}),0.8333333333333333
53,"frozenset({'root vegetables', 'pip fruit', 'brown bread'})",frozenset({'whole milk'}),0.8750000000000001
54,"frozenset({'whipped/sour cream', 'chicken', 'butter'})",frozenset({'whole milk'}),0.8
55,"frozenset({'butter', 'citrus fruit', 'curd'})",frozenset({'whole milk'}),0.9166666666666665
56,"frozenset({'hygiene articles', 'citrus fruit', 'butter'})",frozenset({'whole milk'}),0.8333333333333333
57,"frozenset({'whipped/sour cream', 'coffee', 'butter'})",frozenset({'whole milk'}),0.9230769230769231
58,"frozenset({'root vegetables', 'cream cheese', 'butter'})",frozenset({'whole milk'}),0.9090909090909092
59,"frozenset({'root vegetables', 'cream cheese', 'butter'})",frozenset({'yogurt'}),0.9090909090909092
60,"frozenset({'whipped/sour cream', 'cream cheese', 'butter'})",frozenset({'whole milk'}),0.8461538461538461
61,"frozenset({'butter', 'domestic eggs', 'curd'})",frozenset({'other vegetables'}),0.8333333333333333
62,"frozenset({'butter', 'domestic eggs', 'curd'})",frozenset({'whole milk'}),0.9166666666666665
63,"frozenset({'butter', 'pip fruit', 'curd'})",frozenset({'whole milk'}),0.8
64,"frozenset({'onions', 'domestic eggs', 'butter'})",frozenset({'whole milk'}),0.8461538461538461
65,"frozenset({'pip fruit', 'domestic eggs', 'butter'})",frozenset({'whole milk'}),0.8571428571428571
66,"frozenset({'soft cheese', 'domestic eggs', 'butter'})",frozenset({'whole milk'}),1.0
67,"frozenset({'whipped/sour cream', 'domestic eggs', 'butter'})",frozenset({'whole milk'}),0.8421052631578947
68,"frozenset({'tropical fruit', 'frozen meals', 'butter'})",frozenset({'whole milk'}),0.9090909090909092
69,"frozenset({'butter', 'whipped/sour cream', 'hamburger meat'})",frozenset({'whole milk'}),0.8
70,"frozenset({'hard cheese', 'yogurt', 'butter'})",frozenset({'whole milk'}),0.8125
71,"frozenset({'napkins', 'hygiene articles', 'butter'})",frozenset({'whole milk'}),0.9090909090909092
72,"frozenset({'pip fruit', 'hygiene articles', 'butter'})",frozenset({'whole milk'}),1.0
73,"frozenset({'root vegetables', 'hygiene articles', 'butter'})",frozenset({'whole milk'}),0.823529411764706
74,"frozenset({'tropical fruit', 'hygiene articles', 'butter'})",frozenset({'whole milk'}),0.9230769230769231
75,"frozenset({'whipped/sour cream', 'long life bakery product', 'butter'})",frozenset({'other vegetables'}),0.8
76,"frozenset({'sausage', 'long life bakery product', 'butter'})",frozenset({'whole milk'}),0.9090909090909092
77,"frozenset({'tropical fruit', 'margarine', 'butter'})",frozenset({'yogurt'}),0.8461538461538461
78,"frozenset({'napkins', 'whipped/sour cream', 'butter'})",frozenset({'whole milk'}),0.823529411764706
79,"frozenset({'napkins', 'yogurt', 'butter'})",frozenset({'whole milk'}),0.8461538461538461
80,"frozenset({'root vegetables', 'onions', 'butter'})",frozenset({'whole milk'}),0.85
81,"frozenset({'tropical fruit', 'onions', 'butter'})",frozenset({'whole milk'}),0.8571428571428571
82,"frozenset({'onions', 'yogurt', 'butter'})",frozenset({'whole milk'}),0.8125
83,"frozenset({'pastry', 'pip fruit', 'butter'})",frozenset({'other vegetables'}),0.9285714285714285
84,"frozenset({'pork', 'other vegetables', 'butter'})",frozenset({'whole milk'}),0.8461538461538461
85,"frozenset({'white bread', 'root vegetables', 'butter'})",frozenset({'other vegetables'}),0.8333333333333333
86,"frozenset({'butter', 'whipped/sour cream', 'soda'})",frozenset({'other vegetables'}),0.9285714285714285
87,"frozenset({'sugar', 'whipped/sour cream', 'butter'})",frozenset({'other vegetables'}),0.8333333333333333
88,"frozenset({'tropical fruit', 'white bread', 'butter'})",frozenset({'other vegetables'}),0.8461538461538461
89,"frozenset({'root vegetables', 'pip fruit', 'butter'})",frozenset({'whole milk'}),0.8095238095238095
90,"frozenset({'whipped/sour cream', 'pip fruit', 'butter'})",frozenset({'whole milk'}),0.9
91,"frozenset({'whipped/sour cream', 'pork', 'butter'})",frozenset({'whole milk'}),0.8750000000000001
92,"frozenset({'pork', 'yogurt', 'butter'})",frozenset({'whole milk'}),0.823529411764706
93,"frozenset({'rice', 'root vegetables', 'butter'})",frozenset({'whole milk'}),1.0
94,"frozenset({'white bread', 'root vegetables', 'butter'})",frozenset({'whole milk'}),0.9166666666666665
95,"frozenset({'whipped/sour cream', 'sliced cheese', 'butter'})",frozenset({'whole milk'}),0.9230769230769231
96,"frozenset({'soft cheese', 'yogurt', 'butter'})",frozenset({'whole milk'}),0.8
97,"frozenset({'sugar', 'whipped/sour cream', 'butter'})",frozenset({'whole milk'}),0.8333333333333333
98,"frozenset({'tropical fruit', 'white bread', 'butter'})",frozenset({'yogurt'}),0.8461538461538461
99,"frozenset({'dessert', 'butter milk', 'yogurt'})",frozenset({'whole milk'}),0.8125
100,"frozenset({'butter milk', 'pip fruit', 'fruit/vegetable juice'})",frozenset({'other vegetables'}),0.9090909090909092
101,"frozenset({'pastry', 'butter milk', 'other vegetables'})",frozenset({'yogurt'}),0.8
102,"frozenset({'root vegetables', 'butter milk', 'pip fruit'})",frozenset({'other vegetables'}),0.8571428571428571
103,"frozenset({'whole milk', 'pork', 'butter milk'})",frozenset({'other vegetables'}),0.9090909090909092
104,"frozenset({'root vegetables', 'butter milk', 'yogurt'})",frozenset({'whole milk'}),0.8823529411764706
105,"frozenset({'sausage', 'butter milk', 'yogurt'})",frozenset({'whole milk'}),0.8461538461538461
106,"frozenset({'rolls/buns', 'root vegetables', 'candy'})",frozenset({'other vegetables'}),0.8333333333333333
107,"frozenset({'sausage', 'domestic eggs', 'chicken'})",frozenset({'whole milk'}),0.8571428571428571
108,"frozenset({'pastry', 'root vegetables', 'chicken'})",frozenset({'other vegetables'}),0.8333333333333333
109,"frozenset({'sausage', 'chocolate', 'domestic eggs'})",frozenset({'whole milk'}),0.8333333333333333
110,"frozenset({'root vegetables', 'napkins', 'chocolate'})",frozenset({'whole milk'}),0.8
111,"frozenset({'cream cheese', 'domestic eggs', 'citrus fruit'})",frozenset({'whole milk'}),0.8888888888888888
112,"frozenset({'root vegetables', 'cream cheese', 'citrus fruit'})",frozenset({'other vegetables'}),0.9230769230769231
113,"frozenset({'cream cheese', 'whipped/sour cream', 'citrus fruit'})",frozenset({'other vegetables'}),0.8125
114,"frozenset({'sugar', 'domestic eggs', 'citrus fruit'})",frozenset({'whole milk'}),0.9333333333333333
115,"frozenset({'fruit/vegetable juice', 'frozen vegetables', 'citrus fruit'})",frozenset({'whole milk'}),0.8421052631578947
116,"frozenset({'frozen vegetables', 'napkins', 'citrus fruit'})",frozenset({'whole milk'}),0.8461538461538461
117,"frozenset({'fruit/vegetable juice', 'grapes', 'citrus fruit'})",frozenset({'tropical fruit'}),0.8461538461538461
118,"frozenset({'fruit/vegetable juice', 'oil', 'citrus fruit'})",frozenset({'other vegetables'}),0.8461538461538461
119,"frozenset({'root vegetables', 'herbs', 'citrus fruit'})",frozenset({'other vegetables'}),0.8125
120,"frozenset({'tropical fruit', 'herbs', 'citrus fruit'})",frozenset({'other vegetables'}),0.8333333333333333
121,"frozenset({'root vegetables', 'herbs', 'citrus fruit'})",frozenset({'whole milk'}),0.8125
122,"frozenset({'tropical fruit', 'herbs', 'citrus fruit'})",frozenset({'whole milk'}),0.9166666666666665
123,"frozenset({'root vegetables', 'hygiene articles', 'citrus fruit'})",frozenset({'whole milk'}),0.8571428571428571
124,"frozenset({'root vegetables', 'newspapers', 'citrus fruit'})",frozenset({'other vegetables'}),0.8421052631578947
125,"frozenset({'root vegetables', 'onions', 'citrus fruit'})",frozenset({'other vegetables'}),0.823529411764706
126,"frozenset({'pastry', 'root vegetables', 'citrus fruit'})",frozenset({'other vegetables'}),0.8823529411764706
127,"frozenset({'root vegetables', 'soft cheese', 'citrus fruit'})",frozenset({'other vegetables'}),1.0
128,"frozenset({'pastry', 'whipped/sour cream', 'citrus fruit'})",frozenset({'whole milk'}),0.8823529411764706
129,"frozenset({'sugar', 'whipped/sour cream', 'citrus fruit'})",frozenset({'whole milk'}),0.8461538461538461
130,"frozenset({'root vegetables', 'coffee', 'domestic eggs'})",frozenset({'whole milk'}),0.9090909090909092
131,"frozenset({'oil', 'coffee', 'yogurt'})",frozenset({'other vegetables'}),0.9090909090909092
132,"frozenset({'root vegetables', 'cream cheese', 'curd'})",frozenset({'other vegetables'}),0.85
133,"frozenset({'napkins', 'domestic eggs', 'cream cheese'})",frozenset({'whole milk'}),1.0
134,"frozenset({'cream cheese', 'pip fruit', 'domestic eggs'})",frozenset({'whole milk'}),0.8461538461538461
135,"frozenset({'sugar', 'domestic eggs', 'cream cheese'})",frozenset({'whole milk'}),1.0
136,"frozenset({'whipped/sour cream', 'domestic eggs', 'cream cheese'})",frozenset({'whole milk'}),0.8571428571428571
137,"frozenset({'domestic eggs', 'yogurt', 'cream cheese'})",frozenset({'whole milk'}),0.8125
138,"frozenset({'cream cheese', 'yogurt', 'frankfurter'})",frozenset({'whole milk'}),0.8333333333333333
139,"frozenset({'whipped/sour cream', 'margarine', 'cream cheese'})",frozenset({'yogurt'}),0.8333333333333333
140,"frozenset({'sugar', 'cream cheese', 'other vegetables'})",frozenset({'whole milk'}),0.9375
141,"frozenset({'tropical fruit', 'whipped/sour cream', 'cream cheese'})",frozenset({'other vegetables'}),0.8750000000000001
142,"frozenset({'sausage', 'pip fruit', 'cream cheese'})",frozenset({'whole milk'}),0.9090909090909092
143,"frozenset({'whipped/sour cream', 'pip fruit', 'cream cheese'})",frozenset({'whole milk'}),0.9285714285714285
144,"frozenset({'pork', 'yogurt', 'cream cheese'})",frozenset({'whole milk'}),0.8333333333333333
145,"frozenset({'domestic eggs', 'other vegetables', 'curd'})",frozenset({'whole milk'}),0.823529411764706
146,"frozenset({'sugar', 'domestic eggs', 'curd'})",frozenset({'whole milk'}),1.0
147,"frozenset({'frozen meals', 'yogurt', 'curd'})",frozenset({'whole milk'}),0.8461538461538461
148,"frozenset({'root vegetables', 'herbs', 'curd'})",frozenset({'whole milk'}),0.8571428571428571
149,"frozenset({'curd', 'margarine', 'rolls/buns'})",frozenset({'whole milk'}),0.8125
150,"frozenset({'onions', 'yogurt', 'curd'})",frozenset({'whole milk'}),0.8461538461538461
151,"frozenset({'whipped/sour cream', 'pip fruit', 'curd'})",frozenset({'whole milk'}),0.8181818181818182
152,"frozenset({'whipped/sour cream', 'sausage', 'dessert'})",frozenset({'other vegetables'}),0.8333333333333333
153,"frozenset({'tropical fruit', 'whipped/sour cream', 'dessert'})",frozenset({'other vegetables'}),0.9166666666666665
154,"frozenset({'detergent', 'whipped/sour cream', 'other vegetables'})",frozenset({'whole milk'}),0.8333333333333333
155,"frozenset({'domestic eggs', 'margarine', 'fruit/vegetable juice'})",frozenset({'whole milk'}),0.9166666666666665
156,"frozenset({'domestic eggs', 'herbs', 'other vegetables'})",frozenset({'whole milk'}),0.8333333333333333
157,"frozenset({'tropical fruit', 'domestic eggs', 'hygiene articles'})",frozenset({'whole milk'}),0.9230769230769231
158,"frozenset({'whipped/sour cream', 'margarine', 'domestic eggs'})",frozenset({'whole milk'}),0.8
159,"frozenset({'tropical fruit', 'napkins', 'domestic eggs'})",frozenset({'whole milk'}),0.8125
160,"frozenset({'pastry', 'root vegetables', 'domestic eggs'})",frozenset({'other vegetables'}),0.8571428571428571
161,"frozenset({'pastry', 'whipped/sour cream', 'domestic eggs'})",frozenset({'other vegetables'}),0.8571428571428571
162,"frozenset({'soft cheese', 'root vegetables', 'domestic eggs'})",frozenset({'other vegetables'}),0.8333333333333333
163,"frozenset({'tropical fruit', 'pastry', 'domestic eggs'})",frozenset({'whole milk'}),0.8125
164,"frozenset({'sausage', 'pip fruit', 'domestic eggs'})",frozenset({'whole milk'}),0.823529411764706
165,"frozenset({'soft cheese', 'root vegetables', 'domestic eggs'})",frozenset({'whole milk'}),0.8333333333333333
166,"frozenset({'sugar', 'domestic eggs', 'tropical fruit'})",frozenset({'whole milk'}),0.9166666666666665
167,"frozenset({'sugar', 'domestic eggs', 'yogurt'})",frozenset({'whole milk'}),0.9333333333333333
168,"frozenset({'tropical fruit', 'whipped/sour cream', 'domestic eggs'})",frozenset({'whole milk'}),0.9
169,"frozenset({'root vegetables', 'flour', 'rolls/buns'})",frozenset({'other vegetables'}),0.8333333333333333
170,"frozenset({'sugar', 'flour', 'other vegetables'})",frozenset({'whole milk'}),0.8571428571428571
171,"frozenset({'root vegetables', 'whipped/sour cream', 'flour'})",frozenset({'whole milk'}),1.0
172,"frozenset({'tropical fruit', 'frozen meals', 'frankfurter'})",frozenset({'other vegetables'}),0.9090909090909092
173,"frozenset({'frozen meals', 'frankfurter', 'other vegetables'})",frozenset({'whole milk'}),0.8
174,"frozenset({'tropical fruit', 'frozen meals', 'frankfurter'})",frozenset({'whole milk'}),0.9090909090909092
175,"frozenset({'root vegetables', 'sliced cheese', 'frankfurter'})",frozenset({'whole milk'}),0.9090909090909092
176,"frozenset({'sliced cheese', 'yogurt', 'frankfurter'})",frozenset({'whole milk'}),0.8333333333333333
177,"frozenset({'tropical fruit', 'frozen fish', 'pip fruit'})",frozenset({'other vegetables'}),0.8333333333333333
178,"frozenset({'frozen fish', 'pip fruit', 'whole milk'})",frozenset({'other vegetables'}),0.8461538461538461
179,"frozenset({'frozen fish', 'yogurt', 'other vegetables'})",frozenset({'whole milk'}),0.8571428571428571
180,"frozenset({'frozen fish', 'root vegetables', 'yogurt'})",frozenset({'whole milk'}),0.8571428571428571
181,"frozenset({'tropical fruit', 'root vegetables', 'frozen meals'})",frozenset({'whole milk'}),0.8461538461538461
182,"frozenset({'whole milk', 'frozen vegetables', 'ham'})",frozenset({'other vegetables'}),0.8333333333333333
183,"frozenset({'frozen vegetables', 'margarine', 'rolls/buns'})",frozenset({'whole milk'}),0.8666666666666666
184,"frozenset({'frozen vegetables', 'napkins', 'other vegetables'})",frozenset({'whole milk'}),0.8125
185,"frozenset({'frozen vegetables', 'root vegetables', 'onions'})",frozenset({'other vegetables'}),0.8666666666666666
186,"frozenset({'whole milk', 'herbs', 'fruit/vegetable juice'})",frozenset({'other vegetables'}),0.9090909090909092
187,"frozenset({'fruit/vegetable juice', 'herbs', 'other vegetables'})",frozenset({'whole milk'}),0.8333333333333333
188,"frozenset({'tropical fruit', 'oil', 'fruit/vegetable juice'})",frozenset({'other vegetables'}),0.8571428571428571
189,"frozenset({'tropical fruit', 'whipped/sour cream', 'fruit/vegetable juice'})",frozenset({'other vegetables'}),0.9047619047619048
190,"frozenset({'pastry', 'whipped/sour cream', 'fruit/vegetable juice'})",frozenset({'yogurt'}),0.8
191,"frozenset({'tropical fruit', 'pork', 'fruit/vegetable juice'})",frozenset({'yogurt'}),0.8333333333333333
192,"frozenset({'whole milk', 'pork', 'grapes'})",frozenset({'other vegetables'}),0.8333333333333333
193,"frozenset({'tropical fruit', 'root vegetables', 'grapes'})",frozenset({'other vegetables'}),0.8
194,"frozenset({'whole milk', 'tropical fruit', 'grapes'})",frozenset({'other vegetables'}),0.8
195,"frozenset({'tropical fruit', 'yogurt', 'grapes'})",frozenset({'other vegetables'}),0.823529411764706
196,"frozenset({'tropical fruit', 'ham', 'pip fruit'})",frozenset({'other vegetables'}),0.8888888888888888
197,"frozenset({'tropical fruit', 'whipped/sour cream', 'hamburger meat'})",frozenset({'other vegetables'}),0.9090909090909092
198,"frozenset({'root vegetables', 'whipped/sour cream', 'hamburger meat'})",frozenset({'whole milk'}),0.8333333333333333
199,"frozenset({'hard cheese', 'root vegetables', 'whipped/sour cream'})",frozenset({'other vegetables'}),0.8125
200,"frozenset({'tropical fruit', 'whipped/sour cream', 'hard cheese'})",frozenset({'other vegetables'}),0.9090909090909092
201,"frozenset({'tropical fruit', 'yogurt', 'hard cheese'})",frozenset({'whole milk'}),0.823529411764706
202,"frozenset({'root vegetables', 'shopping bags', 'herbs'})",frozenset({'other vegetables'}),0.8461538461538461
203,"frozenset({'tropical fruit', 'herbs', 'other vegetables'})",frozenset({'whole milk'}),0.8125
204,"frozenset({'root vegetables', 'herbs', 'rolls/buns'})",frozenset({'whole milk'}),0.8333333333333334
205,"frozenset({'tropical fruit', 'root vegetables', 'herbs'})",frozenset({'whole milk'}),0.8823529411764706
206,"frozenset({'tropical fruit', 'yogurt', 'herbs'})",frozenset({'whole milk'}),0.8333333333333333
207,"frozenset({'margarine', 'hygiene articles', 'rolls/buns'})",frozenset({'whole milk'}),0.8333333333333333
208,"frozenset({'tropical fruit', 'napkins', 'hygiene articles'})",frozenset({'whole milk'}),0.8
209,"frozenset({'root vegetables', 'pip fruit', 'hygiene articles'})",frozenset({'whole milk'}),1.0
210,"frozenset({'sausage', 'pip fruit', 'hygiene articles'})",frozenset({'whole milk'}),0.8125
211,"frozenset({'root vegetables', 'whipped/sour cream', 'hygiene articles'})",frozenset({'whole milk'}),1.0
212,"frozenset({'root vegetables', 'hygiene articles', 'yogurt'})",frozenset({'whole milk'}),0.8571428571428571
213,"frozenset({'tropical fruit', 'whipped/sour cream', 'hygiene articles'})",frozenset({'whole milk'}),0.8333333333333333
214,"frozenset({'napkins', 'long life bakery product', 'other vegetables'})",frozenset({'whole milk'}),0.8571428571428571
215,"frozenset({'tropical fruit', 'long life bakery product', 'napkins'})",frozenset({'whole milk'}),0.9230769230769231
216,"frozenset({'napkins', 'whipped/sour cream', 'long life bakery product'})",frozenset({'whole milk'}),0.9090909090909092
217,"frozenset({'tropical fruit', 'root vegetables', 'long life bakery product'})",frozenset({'other vegetables'}),0.8461538461538461
218,"frozenset({'long life bakery product', 'salty snack', 'other vegetables'})",frozenset({'whole milk'}),0.8333333333333333
219,"frozenset({'whipped/sour cream', 'sausage', 'long life bakery product'})",frozenset({'whole milk'}),0.8333333333333333
220,"frozenset({'whipped/sour cream', 'long life bakery product', 'yogurt'})",frozenset({'whole milk'}),0.8095238095238095
221,"frozenset({'whipped/sour cream', 'margarine', 'rolls/buns'})",frozenset({'whole milk'}),0.8888888888888888
222,"frozenset({'root vegetables', 'meat', 'yogurt'})",frozenset({'other vegetables'}),0.8571428571428571
223,"frozenset({'whole milk', 'meat', 'tropical fruit'})",frozenset({'other vegetables'}),0.8333333333333333
224,"frozenset({'root vegetables', 'napkins', 'onions'})",frozenset({'other vegetables'}),0.9090909090909092
225,"frozenset({'whole milk', 'onions', 'napkins'})",frozenset({'other vegetables'}),0.8
226,"frozenset({'tropical fruit', 'root vegetables', 'oil'})",frozenset({'other vegetables'}),0.85
227,"frozenset({'root vegetables', 'oil', 'shopping bags'})",frozenset({'whole milk'}),0.8333333333333333
228,"frozenset({'tropical fruit', 'root vegetables', 'onions'})",frozenset({'other vegetables'}),0.8888888888888888
229,"frozenset({'pastry', 'root vegetables', 'shopping bags'})",frozenset({'other vegetables'}),0.8461538461538461
230,"frozenset({'pork', 'pip fruit', 'soda'})",frozenset({'other vegetables'}),0.8461538461538461
231,"frozenset({'rice', 'root vegetables', 'other vegetables'})",frozenset({'whole milk'}),0.8181818181818182
232,"frozenset({'rice', 'root vegetables', 'yogurt'})",frozenset({'other vegetables'}),0.8750000000000001
233,"frozenset({'tropical fruit', 'rice', 'other vegetables'})",frozenset({'whole milk'}),0.8333333333333333
234,"frozenset({'whole milk', 'rice', 'yogurt'})",frozenset({'other vegetables'}),0.8333333333333334
235,"frozenset({'root vegetables', 'salty snack', 'yogurt'})",frozenset({'other vegetables'}),0.8571428571428571
236,"frozenset({'tropical fruit', 'turkey', 'root vegetables'})",frozenset({'other vegetables'}),0.8
237,"frozenset({'whole milk', 'turkey', 'root vegetables'})",frozenset({'other vegetables'}),0.8
238,"frozenset({'white bread', 'whipped/sour cream', 'root vegetables'})",frozenset({'other vegetables'}),0.8750000000000001
239,"frozenset({'tropical fruit', 'whipped/sour cream', 'salty snack'})",frozenset({'other vegetables'}),0.8
240,"frozenset({'tropical fruit', 'salty snack', 'yogurt'})",frozenset({'other vegetables'}),0.8125
241,"frozenset({'tropical fruit', 'semi-finished bread', 'yogurt'})",frozenset({'other vegetables'}),0.8125
242,"frozenset({'tropical fruit', 'soft cheese', 'whipped/sour cream'})",frozenset({'other vegetables'}),0.9230769230769231
243,"frozenset({'yogurt', 'other vegetables', 'specialty cheese'})",frozenset({'whole milk'}),0.8125
244,"frozenset({'tropical fruit', 'white bread', 'whipped/sour cream'})",frozenset({'other vegetables'}),0.85
245,"frozenset({'pip fruit', 'yogurt', 'salty snack'})",frozenset({'whole milk'}),0.8461538461538461
246,"frozenset({'sausage', 'pip fruit', 'sliced cheese'})",frozenset({'yogurt'}),0.8571428571428571
247,"frozenset({'whipped/sour cream', 'sausage', 'pip fruit'})",frozenset({'whole milk'}),0.8
248,"frozenset({'pork', 'waffles', 'rolls/buns'})",frozenset({'whole milk'}),0.9090909090909092
249,"frozenset({'rice', 'root vegetables', 'yogurt'})",frozenset({'whole milk'}),0.8750000000000001
250,"frozenset({'root vegetables', 'waffles', 'rolls/buns'})",frozenset({'whole milk'}),0.8421052631578947
251,"frozenset({'whipped/sour cream', 'waffles', 'rolls/buns'})",frozenset({'whole milk'}),0.8095238095238095
252,"frozenset({'soft cheese', 'whipped/sour cream', 'root vegetables'})",frozenset({'whole milk'}),0.9230769230769231
253,"frozenset({'sugar', 'root vegetables', 'whipped/sour cream'})",frozenset({'whole milk'}),0.9230769230769231
254,"frozenset({'white bread', 'whipped/sour cream', 'root vegetables'})",frozenset({'whole milk'}),0.8125
255,"frozenset({'tropical fruit', 'root vegetables', 'citrus fruit', 'beef'})",frozenset({'other vegetables'}),0.8333333333333333
256,"frozenset({'tropical fruit', 'other vegetables', 'citrus fruit', 'beef'})",frozenset({'root vegetables'}),0.8333333333333333
257,"frozenset({'tropical fruit', 'beef', 'other vegetables', 'rolls/buns'})",frozenset({'whole milk'}),0.8823529411764706
258,"frozenset({'tropical fruit', 'whipped/sour cream', 'whole milk', 'beef'})",frozenset({'other vegetables'}),0.8461538461538461
259,"frozenset({'tropical fruit', 'root vegetables', 'beef', 'rolls/buns'})",frozenset({'whole milk'}),0.823529411764706
260,"frozenset({'tropical fruit', 'yogurt', 'beef', 'rolls/buns'})",frozenset({'whole milk'}),0.9285714285714285
261,"frozenset({'bottled water', 'citrus fruit', 'other vegetables', 'butter'})",frozenset({'whole milk'}),0.9090909090909092
262,"frozenset({'tropical fruit', 'bottled water', 'citrus fruit', 'other vegetables'})",frozenset({'whole milk'}),0.8666666666666666
263,"frozenset({'frozen vegetables', 'root vegetables', 'other vegetables', 'bottled water'})",frozenset({'whole milk'}),0.8333333333333333
264,"frozenset({'whole milk', 'frozen vegetables', 'root vegetables', 'bottled water'})",frozenset({'other vegetables'}),0.8333333333333333
265,"frozenset({'bottled water', 'root vegetables', 'pip fruit', 'other vegetables'})",frozenset({'whole milk'}),1.0
